date,ue
2003.3073,0.027113
2003.3101,0.023076
2003.3128,0.022764
2003.3155,0.021416
2003.3183,0.022119
2003.321,0.022914
2003.3238,0.02472
2003.655,0.012033
2003.6578,0.010012
2003.6605,0.009429
2003.6632,0.01183
2003.666,0.012139
2003.6687,0.014296
2003.6715,0.017146
2003.6742,0.01301
2003.6769,0.015995
2003.6797,0.016459
2003.6824,0.011374
2003.6851,0.014972
2003.6879,0.018919
2003.6906,0.01675
2003.6934,0.014145
2003.6961,0.011284
2003.6988,0.008963
2003.7016,0.010044
2003.7043,0.010837
2005.076,-0.034953
2005.1444,-0.036197
2005.1472,-0.038483
2005.1499,-0.035506
2005.1526,-0.042981
2005.1554,-0.037609
2005.1581,-0.036049
2005.1608,-0.036316
2005.1636,-0.039216
2005.1663,-0.038829
2005.1691,-0.03768
2005.1718,-0.039644
2005.1745,-0.040181
2005.1773,-0.038515
2005.18,-0.036242
2005.1828,-0.039108
2005.1855,-0.035962
2005.1882,-0.039782
2005.191,-0.041253
2005.1937,-0.042394
2005.1964,-0.04329
2005.1992,-0.037567
2005.2019,-0.041751
2005.2047,-0.040321
2005.2074,-0.040764
2005.2101,-0.040785
2005.2129,-0.040262
2005.2156,-0.040829
2005.2183,-0.043044
2005.2211,-0.03881
2005.2238,-0.041099
2005.2266,-0.041954
2005.2293,-0.040641
2005.232,-0.042667
2005.2348,-0.041471
2005.2375,-0.04204
2005.2402,-0.041525
2005.243,-0.041087
2005.2457,-0.043943
2005.2485,-0.040643
2005.2512,-0.042265
2005.2539,-0.043315
2005.2567,-0.038547
2005.2594,-0.036203
2005.2621,-0.036402
2005.2649,-0.042357
2005.2676,-0.039741
2005.2704,-0.041185
2005.2731,-0.036742
2005.2758,-0.038518
2005.2786,-0.038105
2005.2813,-0.040611
2005.2841,-0.03847
2005.2868,-0.03712
2005.2895,-0.037198
2005.2923,-0.042789
2005.295,-0.04286
2005.2977,-0.041001
2005.3005,-0.043635
2005.3032,-0.039847
2005.306,-0.045816
2005.3087,-0.04039
2005.3114,-0.045945
2005.3142,-0.045927
2005.3169,-0.042816
2005.3196,-0.045058
2005.3224,-0.043987
2005.3251,-0.045107
2005.3279,-0.042509
2005.3306,-0.046079
2005.3333,-0.046695
2005.3361,-0.043455
2005.3388,-0.04742
2005.3415,-0.050334
2005.3443,-0.046729
2005.347,-0.042464
2005.3498,-0.044966
2005.3525,-0.047307
2005.3552,-0.047021
2005.358,-0.044712
2005.4127,-0.050197
2005.5168,-0.05141
2005.5195,-0.048364
2005.5222,-0.048245
2005.525,-0.050221
2005.5277,-0.04525
2005.5305,-0.044709
2005.5332,-0.042599
2005.5359,-0.042053
2005.5387,-0.043177
2005.5414,-0.043115
2005.5441,-0.043593
2005.5469,-0.042368
2005.5496,-0.045319
2005.5524,-0.040483
2005.5551,-0.0422
2005.5578,-0.047021
2005.5606,-0.048924
2005.5633,-0.049138
2005.5661,-0.046933
2005.5688,-0.044522
2005.5715,-0.048988
2005.5743,-0.044574
2005.577,-0.049511
2005.5797,-0.043329
2005.5825,-0.047879
2005.5852,-0.045279
2005.588,-0.040639
2005.5907,-0.045973
2005.5934,-0.04793
2005.5962,-0.045418
2005.5989,-0.041275
2005.6016,-0.043636
2005.6044,-0.04581
2005.6071,-0.047608
2005.6099,-0.046282
2005.6126,-0.049371
2005.6153,-0.048518
2005.6181,-0.046316
2005.6208,-0.049187
2005.6235,-0.048556
2005.6263,-0.04632
2005.629,-0.046467
2005.6318,-0.045682
2005.6345,-0.050111
2005.6372,-0.04976
2005.64,-0.049961
2005.6427,-0.053869
2005.6454,-0.048475
2005.6482,-0.050299
2005.6564,-0.049482
2005.6591,-0.047704
2005.6619,-0.045222
2005.6646,-0.047899
2005.6674,-0.045997
2005.6701,-0.04905
2005.6728,-0.049159
2005.6756,-0.048882
2005.6783,-0.049474
2005.681,-0.049944
2005.6838,-0.052984
2005.6865,-0.050665
2005.6893,-0.046085
2005.692,-0.044239
2005.6947,-0.044745
2005.6975,-0.04681
2005.7002,-0.049176
2005.7029,-0.048287
2005.7057,-0.045116
2005.7084,-0.044972
2005.7112,-0.046459
2005.7139,-0.050652
2005.7166,-0.050699
2005.7194,-0.055944
2005.7221,-0.050556
2005.7248,-0.048464
2005.7276,-0.052134
2005.7303,-0.051487
2005.7331,-0.049447
2005.7358,-0.0466
2005.7385,-0.04945
2005.7413,-0.052456
2005.744,-0.052965
2005.7467,-0.049346
2005.7495,-0.051464
2005.7522,-0.050631
2005.755,-0.046226
2005.7577,-0.05126
2005.7604,-0.051899
2005.7632,-0.053255
2005.7659,-0.051369
2005.7687,-0.051905
2005.7714,-0.050889
2005.7741,-0.050776
2005.7769,-0.052092
2005.7796,-0.051617
2005.7823,-0.048744
2005.7851,-0.049676
2005.7878,-0.050905
2005.7906,-0.052923
2005.7933,-0.053984
2005.796,-0.053537
2005.7988,-0.049732
2005.8015,-0.049868
2005.8042,-0.050568
2005.807,-0.052065
2005.8097,-0.055358
2005.8125,-0.054894
2005.8152,-0.044045
2005.8179,-0.045564
2005.8207,-0.055564
2005.8261,-0.051703
2005.8289,-0.046036
2005.8316,-0.048905
2005.8344,-0.050352
2005.8371,-0.05028
2005.8398,-0.054312
2005.8426,-0.04781
2005.8453,-0.046584
2005.848,-0.054319
2005.8508,-0.047782
2005.8535,-0.052541
2005.8563,-0.055341
2005.859,-0.048429
2005.8617,-0.052863
2005.8645,-0.055423
2005.8672,-0.049429
2005.87,-0.055902
2005.8727,-0.053516
2005.8754,-0.050201
2005.8782,-0.0522
2005.8809,-0.051663
2005.8836,-0.052808
2005.8864,-0.052753
2005.8891,-0.051671
2005.8919,-0.057961
2005.8946,-0.052793
2005.8973,-0.055684
